[05-Apr-2019 16:33:51 PRC] PHP Warning:  include(): Failed opening 'link.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\stu_func_control.php on line 4
[05-Apr-2019 16:33:51 PRC] PHP Warning:  include(stu_query_control.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\stu_func_control.php on line 5
[05-Apr-2019 16:33:51 PRC] PHP Warning:  include(): Failed opening 'stu_query_control.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\stu_func_control.php on line 5
[05-Apr-2019 16:33:51 PRC] PHP Notice:  Undefined variable: link in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\stu_func_control.php on line 30
[05-Apr-2019 16:33:51 PRC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\stu_func_control.php on line 30
[05-Apr-2019 16:33:51 PRC] PHP Notice:  Undefined variable: link in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\stu_func_control.php on line 31
[05-Apr-2019 16:33:51 PRC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\stu_func_control.php on line 31
[05-Apr-2019 16:33:51 PRC] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\stu_func_control.php on line 32
[05-Apr-2019 16:33:51 PRC] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\stu_func_control.php on line 33
[05-Apr-2019 16:33:51 PRC] PHP Notice:  Undefined variable: row_control in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\stu_func_control.php on line 47
[05-Apr-2019 16:33:57 PRC] PHP Warning:  include(t_task_book.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\secretary.php on line 64
[05-Apr-2019 16:33:57 PRC] PHP Warning:  include(): Failed opening 't_task_book.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\secretary.php on line 64
[05-Apr-2019 16:38:09 PRC] PHP Warning:  include(s_topic.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\student_func\student.php on line 85
[05-Apr-2019 16:38:09 PRC] PHP Warning:  include(): Failed opening 's_topic.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\student_func\student.php on line 85
[05-Apr-2019 16:38:14 PRC] PHP Warning:  include(s_topic.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\student_func\student.php on line 85
[05-Apr-2019 16:38:14 PRC] PHP Warning:  include(): Failed opening 's_topic.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\student_func\student.php on line 85
[05-Apr-2019 16:38:46 PRC] PHP Warning:  include(../secretary_func/query_stu_control.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\student_func\stu_topic.php on line 3
[05-Apr-2019 16:38:46 PRC] PHP Warning:  include(): Failed opening '../secretary_func/query_stu_control.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\student_func\stu_topic.php on line 3
[05-Apr-2019 16:38:46 PRC] PHP Notice:  Undefined variable: row_control in C:\Users\smile\Desktop\Code\Html\ManaSystem\student_func\stu_topic.php on line 129
[05-Apr-2019 16:39:08 PRC] PHP Warning:  include(task_book_detail.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\student_func\student.php on line 89
[05-Apr-2019 16:39:08 PRC] PHP Warning:  include(): Failed opening 'task_book_detail.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\student_func\student.php on line 89
[05-Apr-2019 16:39:35 PRC] PHP Warning:  include(topic_detail.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\tutor.php on line 83
[05-Apr-2019 16:39:35 PRC] PHP Warning:  include(): Failed opening 'topic_detail.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\tutor.php on line 83
[05-Apr-2019 16:41:42 PRC] PHP Warning:  include(stu_func_control.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\secretary.php on line 68
[05-Apr-2019 16:41:42 PRC] PHP Warning:  include(): Failed opening 'stu_func_control.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\secretary.php on line 68
[05-Apr-2019 16:41:45 PRC] PHP Warning:  include(review_topic.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\secretary.php on line 54
[05-Apr-2019 16:41:45 PRC] PHP Warning:  include(): Failed opening 'review_topic.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\secretary.php on line 54
[05-Apr-2019 16:43:27 PRC] PHP Warning:  include(link.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_add_topic.php on line 17
[05-Apr-2019 16:43:27 PRC] PHP Warning:  include(): Failed opening 'link.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_add_topic.php on line 17
[05-Apr-2019 16:43:27 PRC] PHP Notice:  Undefined variable: link in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_add_topic.php on line 56
[05-Apr-2019 16:43:27 PRC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_add_topic.php on line 56
[05-Apr-2019 16:43:27 PRC] PHP Notice:  Undefined variable: link in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_add_topic.php on line 58
[05-Apr-2019 16:43:27 PRC] PHP Warning:  mysqli_close() expects parameter 1 to be mysqli, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_add_topic.php on line 58
